75 34 (5, (1, 1, 1, 1, 1, 5, 2)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('o', 'F'), ('*', 'G'), ('', 'A'), ('', 'B')]
75 35 (6, (1, 1, 1, 1, 2, 1, 5)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('o', 'F'), ('*', 'G'), ('*', 'A'), ('-*', 'B')]
75 36 (6, (1, 1, 1, 1, 2, 1, 5)) [(0, 'C'), ('^', 'D'), ('x', 'E'), ('x', 'F'), ('+', 'G'), ('', 'A'), ('', 'B')]
75 37 (6, (1, 1, 1, 1, 2, 1, 5)) [(0, 'C'), ('-', 'D'), ('x', 'E'), ('x', 'F'), ('+', 'G'), ('', 'A'), ('-', 'B')]
75 38 (6, (1, 1, 1, 1, 2, 1, 5)) [(0, 'C'), ('', 'D'), ('-', 'E'), ('^', 'F'), ('x', 'G'), ('+', 'A'), ('', 'B')]
75 39 (6, (1, 1, 1, 1, 2, 1, 5)) [(0, 'C'), ('-', 'D'), ('-', 'E'), ('-', 'F'), ('x', 'G'), ('+', 'A'), ('', 'B')]
75 40 (6, (1, 1, 1, 1, 2, 1, 5)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('-', 'F'), ('o', 'G'), ('+', 'A'), ('', 'B')]
75 41 (6, (1, 1, 1, 1, 2, 1, 5)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('o', 'F'), ('o', 'G'), ('*', 'A'), ('', 'B')]
75 42 (7, (1, 1, 1, 1, 2, 2, 4)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('o', 'F'), ('*', 'G'), ('*', 'A'), ('*', 'B')]
75 43 (7, (1, 1, 1, 1, 2, 2, 4)) [(0, 'C'), ('x', 'D'), ('+', 'E'), ('+', 'F'), ('', 'G'), ('-', 'A'), ('-', 'B')]
75 44 (7, (1, 1, 1, 1, 2, 2, 4)) [(0, 'C'), ('', 'D'), ('x', 'E'), ('x', 'F'), ('+', 'G'), ('', 'A'), ('-', 'B')]
75 45 (7, (1, 1, 1, 1, 2, 2, 4)) [(0, 'C'), ('', 'D'), ('', 'E'), ('^', 'F'), ('x', 'G'), ('+', 'A'), ('', 'B')]
75 46 (7, (1, 1, 1, 1, 2, 2, 4)) [(0, 'C'), ('-', 'D'), ('-', 'E'), ('', 'F'), ('x', 'G'), ('+', 'A'), ('', 'B')]
75 47 (7, (1, 1, 1, 1, 2, 2, 4)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('-', 'F'), ('-', 'G'), ('+', 'A'), ('', 'B')]
75 48 (7, (1, 1, 1, 1, 2, 2, 4)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('o', 'F'), ('o', 'G'), ('o', 'A'), ('', 'B')]
75 49 (8, (1, 1, 1, 1, 2, 3, 3)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('o', 'F'), ('*', 'G'), ('*', 'A'), ('o', 'B')]
75 50 (8, (1, 1, 1, 1, 2, 3, 3)) [(0, 'C'), ('+', 'D'), ('', 'E'), ('', 'F'), ('-', 'G'), ('o', 'A'), ('o', 'B')]
75 51 (8, (1, 1, 1, 1, 2, 3, 3)) [(0, 'C'), ('+', 'D'), ('x', 'E'), ('x', 'F'), ('+', 'G'), ('', 'A'), ('-', 'B')]
75 52 (8, (1, 1, 1, 1, 2, 3, 3)) [(0, 'C'), ('', 'D'), ('+', 'E'), ('^', 'F'), ('x', 'G'), ('+', 'A'), ('', 'B')]
75 53 (8, (1, 1, 1, 1, 2, 3, 3)) [(0, 'C'), ('-', 'D'), ('-', 'E'), ('+', 'F'), ('x', 'G'), ('+', 'A'), ('', 'B')]
75 54 (8, (1, 1, 1, 1, 2, 3, 3)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('-', 'F'), ('', 'G'), ('+', 'A'), ('', 'B')]
75 55 (8, (1, 1, 1, 1, 2, 3, 3)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('o', 'F'), ('o', 'G'), ('-', 'A'), ('', 'B')]
75 56 (9, (1, 1, 1, 1, 2, 4, 2)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('o', 'F'), ('*', 'G'), ('*', 'A'), ('-', 'B')]
75 57 (9, (1, 1, 1, 1, 2, 4, 2)) [(0, 'C'), ('', 'D'), ('-', 'E'), ('-', 'F'), ('o', 'G'), ('*', 'A'), ('*', 'B')]
75 58 (9, (1, 1, 1, 1, 2, 4, 2)) [(0, 'C'), ('x', 'D'), ('x', 'E'), ('x', 'F'), ('+', 'G'), ('', 'A'), ('-', 'B')]
75 59 (9, (1, 1, 1, 1, 2, 4, 2)) [(0, 'C'), ('', 'D'), ('x', 'E'), ('^', 'F'), ('x', 'G'), ('+', 'A'), ('', 'B')]
75 60 (9, (1, 1, 1, 1, 2, 4, 2)) [(0, 'C'), ('-', 'D'), ('-', 'E'), ('x', 'F'), ('x', 'G'), ('+', 'A'), ('', 'B')]
75 61 (9, (1, 1, 1, 1, 2, 4, 2)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('-', 'F'), ('+', 'G'), ('+', 'A'), ('', 'B')]
75 62 (9, (1, 1, 1, 1, 2, 4, 2)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('o', 'F'), ('o', 'G'), ('', 'A'), ('', 'B')]
75 63 (10, (1, 1, 1, 1, 3, 1, 4)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('o', 'F'), ('*', 'G'), ('o', 'A'), ('*', 'B')]
75 64 (10, (1, 1, 1, 1, 3, 1, 4)) [(0, 'C'), ('x', 'D'), ('+', 'E'), ('+', 'F'), ('', 'G'), ('-', 'A'), ('', 'B')]
75 65 (10, (1, 1, 1, 1, 3, 1, 4)) [(0, 'C'), ('-', 'D'), ('+', 'E'), ('+', 'F'), ('', 'G'), ('-', 'A'), ('o', 'B')]
75 66 (10, (1, 1, 1, 1, 3, 1, 4)) [(0, 'C'), ('+', 'D'), ('', 'E'), ('^', 'F'), ('x', 'G'), ('+', 'A'), ('', 'B')]
75 67 (10, (1, 1, 1, 1, 3, 1, 4)) [(0, 'C'), ('-', 'D'), ('', 'E'), ('', 'F'), ('x', 'G'), ('+', 'A'), ('', 'B')]
75 68 (10, (1, 1, 1, 1, 3, 1, 4)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('', 'F'), ('-', 'G'), ('+', 'A'), ('', 'B')]
75 69 (10, (1, 1, 1, 1, 3, 1, 4)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('o', 'F'), ('-', 'G'), ('o', 'A'), ('', 'B')]
75 70 (11, (1, 1, 1, 1, 3, 2, 3)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('o', 'F'), ('*', 'G'), ('o', 'A'), ('o', 'B')]
75 71 (11, (1, 1, 1, 1, 3, 2, 3)) [(0, 'C'), ('+', 'D'), ('', 'E'), ('', 'F'), ('-', 'G'), ('o', 'A'), ('-', 'B')]
75 72 (11, (1, 1, 1, 1, 3, 2, 3)) [(0, 'C'), ('', 'D'), ('+', 'E'), ('+', 'F'), ('', 'G'), ('-', 'A'), ('o', 'B')]
75 73 (11, (1, 1, 1, 1, 3, 2, 3)) [(0, 'C'), ('+', 'D'), ('+', 'E'), ('^', 'F'), ('x', 'G'), ('+', 'A'), ('', 'B')]
75 74 (11, (1, 1, 1, 1, 3, 2, 3)) [(0, 'C'), ('-', 'D'), ('', 'E'), ('+', 'F'), ('x', 'G'), ('+', 'A'), ('', 'B')]
75 75 (11, (1, 1, 1, 1, 3, 2, 3)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('', 'F'), ('', 'G'), ('+', 'A'), ('', 'B')]
75 76 (11, (1, 1, 1, 1, 3, 2, 3)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('o', 'F'), ('-', 'G'), ('-', 'A'), ('', 'B')]
75 77 (12, (1, 1, 1, 1, 3, 3, 2)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('o', 'F'), ('*', 'G'), ('o', 'A'), ('-', 'B')]
75 78 (12, (1, 1, 1, 1, 3, 3, 2)) [(0, 'C'), ('', 'D'), ('-', 'E'), ('-', 'F'), ('o', 'G'), ('*', 'A'), ('o', 'B')]
75 79 (12, (1, 1, 1, 1, 3, 3, 2)) [(0, 'C'), ('+', 'D'), ('+', 'E'), ('+', 'F'), ('', 'G'), ('-', 'A'), ('o', 'B')]
75 80 (12, (1, 1, 1, 1, 3, 3, 2)) [(0, 'C'), ('+', 'D'), ('x', 'E'), ('^', 'F'), ('x', 'G'), ('+', 'A'), ('', 'B')]
75 81 (12, (1, 1, 1, 1, 3, 3, 2)) [(0, 'C'), ('-', 'D'), ('', 'E'), ('x', 'F'), ('x', 'G'), ('+', 'A'), ('', 'B')]
75 82 (12, (1, 1, 1, 1, 3, 3, 2)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('', 'F'), ('+', 'G'), ('+', 'A'), ('', 'B')]
75 83 (12, (1, 1, 1, 1, 3, 3, 2)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('o', 'F'), ('-', 'G'), ('', 'A'), ('', 'B')]
75 84 (13, (1, 1, 1, 1, 4, 1, 3)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('o', 'F'), ('*', 'G'), ('-', 'A'), ('o', 'B')]
75 85 (13, (1, 1, 1, 1, 4, 1, 3)) [(0, 'C'), ('+', 'D'), ('', 'E'), ('', 'F'), ('-', 'G'), ('o', 'A'), ('', 'B')]
75 86 (13, (1, 1, 1, 1, 4, 1, 3)) [(0, 'C'), ('-', 'D'), ('', 'E'), ('', 'F'), ('-', 'G'), ('o', 'A'), ('*', 'B')]
75 87 (13, (1, 1, 1, 1, 4, 1, 3)) [(0, 'C'), ('x', 'D'), ('+', 'E'), ('^', 'F'), ('x', 'G'), ('+', 'A'), ('', 'B')]
75 88 (13, (1, 1, 1, 1, 4, 1, 3)) [(0, 'C'), ('-', 'D'), ('+', 'E'), ('+', 'F'), ('x', 'G'), ('+', 'A'), ('', 'B')]
75 89 (13, (1, 1, 1, 1, 4, 1, 3)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('+', 'F'), ('', 'G'), ('+', 'A'), ('', 'B')]
75 90 (13, (1, 1, 1, 1, 4, 1, 3)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('o', 'F'), ('', 'G'), ('-', 'A'), ('', 'B')]
75 91 (14, (1, 1, 1, 1, 4, 2, 2)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('o', 'F'), ('*', 'G'), ('-', 'A'), ('-', 'B')]
75 92 (14, (1, 1, 1, 1, 4, 2, 2)) [(0, 'C'), ('', 'D'), ('-', 'E'), ('-', 'F'), ('o', 'G'), ('*', 'A'), ('-', 'B')]
75 93 (14, (1, 1, 1, 1, 4, 2, 2)) [(0, 'C'), ('', 'D'), ('', 'E'), ('', 'F'), ('-', 'G'), ('o', 'A'), ('*', 'B')]
75 94 (14, (1, 1, 1, 1, 4, 2, 2)) [(0, 'C'), ('x', 'D'), ('x', 'E'), ('^', 'F'), ('x', 'G'), ('+', 'A'), ('', 'B')]
75 95 (14, (1, 1, 1, 1, 4, 2, 2)) [(0, 'C'), ('-', 'D'), ('+', 'E'), ('x', 'F'), ('x', 'G'), ('+', 'A'), ('', 'B')]
75 96 (14, (1, 1, 1, 1, 4, 2, 2)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('+', 'F'), ('+', 'G'), ('+', 'A'), ('', 'B')]
75 97 (14, (1, 1, 1, 1, 4, 2, 2)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('o', 'F'), ('', 'G'), ('', 'A'), ('', 'B')]
75 98 (15, (1, 1, 1, 1, 5, 1, 2)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('o', 'F'), ('*', 'G'), ('', 'A'), ('-', 'B')]
75 99 (15, (1, 1, 1, 1, 5, 1, 2)) [(0, 'C'), ('', 'D'), ('-', 'E'), ('-', 'F'), ('o', 'G'), ('*', 'A'), ('', 'B')]
75 100 (15, (1, 1, 1, 1, 5, 1, 2)) [(0, 'C'), ('-', 'D'), ('-', 'E'), ('-', 'F'), ('o', 'G'), ('*', 'A'), ('-*', 'B')]
75 101 (15, (1, 1, 1, 1, 5, 1, 2)) [(0, 'C'), ('^', 'D'), ('x', 'E'), ('^', 'F'), ('x', 'G'), ('+', 'A'), ('', 'B')]
75 102 (15, (1, 1, 1, 1, 5, 1, 2)) [(0, 'C'), ('-', 'D'), ('x', 'E'), ('x', 'F'), ('x', 'G'), ('+', 'A'), ('', 'B')]
75 103 (15, (1, 1, 1, 1, 5, 1, 2)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('x', 'F'), ('+', 'G'), ('+', 'A'), ('', 'B')]
75 104 (15, (1, 1, 1, 1, 5, 1, 2)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('o', 'F'), ('+', 'G'), ('', 'A'), ('', 'B')]
75 105 (16, (1, 1, 1, 2, 1, 1, 5)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('o', 'F'), ('o', 'G'), ('*', 'A'), ('-*', 'B')]
75 106 (16, (1, 1, 1, 2, 1, 1, 5)) [(0, 'C'), ('^', 'D'), ('x', 'E'), ('x', 'F'), ('+', 'G'), ('+', 'A'), ('', 'B')]
75 107 (16, (1, 1, 1, 2, 1, 1, 5)) [(0, 'C'), ('-', 'D'), ('x', 'E'), ('x', 'F'), ('+', 'G'), ('', 'A'), ('', 'B')]
75 108 (16, (1, 1, 1, 2, 1, 1, 5)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('x', 'F'), ('+', 'G'), ('', 'A'), ('-', 'B')]
75 109 (16, (1, 1, 1, 2, 1, 1, 5)) [(0, 'C'), ('', 'D'), ('-', 'E'), ('-', 'F'), ('x', 'G'), ('+', 'A'), ('', 'B')]
75 110 (16, (1, 1, 1, 2, 1, 1, 5)) [(0, 'C'), ('-', 'D'), ('-', 'E'), ('-', 'F'), ('o', 'G'), ('+', 'A'), ('', 'B')]
75 111 (16, (1, 1, 1, 2, 1, 1, 5)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('-', 'F'), ('o', 'G'), ('*', 'A'), ('', 'B')]
75 112 (17, (1, 1, 1, 2, 1, 2, 4)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('o', 'F'), ('o', 'G'), ('*', 'A'), ('*', 'B')]
